female,line,treatment,lifespan,alive
1,M239,single,17,1
2,M239,rival,49,1
3,M315,single,58,1
4,M315,rival,61,1
5,M395,single,66,1
6,M395,rival,22,1
7,M596,single,94,1
8,M596,rival,94,1
9,M703,single,34,1
10,M703,rival,50,1
11,M900,single,51,1
12,M900,rival,75,1
13,M239,single,26,1
14,M239,rival,19,1
15,M315,single,18,1
16,M315,rival,59,1
17,M395,single,57,1
18,M395,rival,49,1
19,M596,single,66,1
20,M596,rival,83,1
21,M703,single,69,1
22,M703,rival,15,1
23,M900,single,18,1
24,M900,rival,79,1
25,M239,single,51,1
26,M239,rival,19,1
27,M315,single,51,1
28,M315,rival,27,1
29,M395,single,65,1
30,M395,rival,69,1
31,M596,single,17,1
32,M596,rival,16,1
33,M703,single,20,1
34,M703,rival,49,1
35,M900,single,86,1
36,M900,rival,17,1
37,M239,single,49,1
38,M239,rival,50,1
39,M315,single,65,1
40,M315,rival,79,1
41,M395,single,79,1
42,M395,rival,18,1
43,M596,single,28,1
44,M596,rival,47,1
45,M703,single,66,1
46,M703,rival,20,1
47,M900,single,78,1
48,M900,rival,50,1
49,M239,single,17,1
50,M239,rival,49,1
51,M315,single,46,1
52,M315,rival,23,1
53,M395,single,57,1
54,M395,rival,33,1
55,M596,single,20,1
56,M596,rival,60,1
57,M703,single,58,1
58,M703,rival,24,1
59,M900,single,57,1
60,M900,rival,59,1
61,M239,single,83,1
62,M239,rival,47,1
63,M315,single,66,1
64,M315,rival,19,1
65,M395,single,95,1
66,M395,rival,7,1
67,M596,single,93,1
68,M596,rival,59,1
69,M703,single,83,1
70,M703,rival,45,1
71,M900,single,79,1
72,M900,rival,49,1
73,M239,single,51,1
74,M239,rival,69,1
75,M315,single,29,1
76,M315,rival,23,1
77,M395,single,99,1
78,M395,rival,69,1
79,M596,single,67,1
80,M596,rival,61,1
81,M703,single,26,1
82,M703,rival,89,1
83,M900,single,15,1
84,M900,rival,28,1
85,M239,single,47,1
86,M239,rival,22,1
87,M315,single,24,1
88,M315,rival,23,1
89,M395,single,28,1
90,M395,rival,59,1
91,M596,single,11,1
92,M596,rival,82,1
93,M703,single,64,1
94,M703,rival,58,1
95,M900,single,17,1
96,M900,rival,67,1
97,M239,single,51,1
98,M239,rival,16,1
99,M315,single,49,1
100,M315,rival,23,1
101,M395,single,61,1
102,M395,rival,49,1
103,M596,single,51,1
104,M596,rival,7,1
105,M703,single,79,1
106,M703,rival,56,1
107,M900,single,19,1
108,M900,rival,28,1
109,M239,single,49,1
110,M239,rival,34,1
111,M315,single,7,1
112,M315,rival,22,1
113,M395,single,56,1
114,M395,rival,51,1
115,M596,single,77,1
116,M596,rival,41,1
117,M703,single,49,1
118,M703,rival,58,1
119,M900,single,76,1
120,M900,rival,61,1
